Display 0,Display 1,Display 2,Display 3,Display 4,Display 5,Display 6,Display 7,Display 8
0.0018132405276908364,0.002446425511346107,0.002446425511346107,0.003845819614806236,0.0023768606538604946,0.0018506968473875408,0.0020290374087952594,0.002273541214552423,0.002273541214552423
0.001912445941017856,0.003424738887680104,0.003424738887680104,0.005660090353256856,0.0018585532524100976,0.0012938600207491268,0.0012746268046785977,0.001095054683661067,0.001095054683661067
0.0019482492846976248,0.0038058917258755156,0.0038058917258755156,0.006464282938166028,0.0015549305765975257,0.0010477858124939756,0.0009841530268293716,0.0007812148179560247,0.0007812148179560247
0.0019713415492810275,0.004001510719443459,0.004001510719443459,0.006910750976551666,0.001387654819559087,0.0009297620757897771,0.0008537897152191498,0.0006574811165720913,0.0006574811165720913
0.0019869688257322937,0.004100872199758734,0.004100872199758734,0.00716706278510994,0.0012867760192388318,0.0008623776099849024,0.0007818076980211857,0.0005980893654936403,0.0005980893654936403
0.001993638282090793,0.004170548275047609,0.004170548275047609,0.007330317861803522,0.001224728315950956,0.0008219778857817335,0.000740999666832531,0.0005693728291675496,0.0005693728291675496
0.0019997531541427137,0.004221725314192881,0.004221725314192881,0.007436980271245921,0.0011843592260568762,0.0007962374097264706,0.0007134474983924028,0.000555323887967559,0.000555323887967559
0.002000861875989319,0.0042468305075963305,0.0042468305075963305,0.00750292728008598,0.0011553010943137546,0.0007769851048004578,0.000695615093455129,0.0005491821274528944,0.0005491821274528944
0.002003682427007272,0.004258713988946855,0.004258713988946855,0.007537815479571039,0.0011338247495025948,0.0007629516300084257,0.0006820052797273963,0.0005472426814824742,0.0005472426814824742
0.0020046908880330537,0.004260333087616283,0.004260333087616283,0.007551918361789577,0.001116253588169685,0.0007518375787688062,0.0006699763231554185,0.0005460407407873508,0.0005460407407873508
