train_additivity_likelihood,train_average_precision,test_additivity_likelihood,test_average_precision
-0.08768744527757501,0.23691901400167922,-0.08825916949465139,0.22831035613983952
-0.08650139892411725,0.24861786339681566,-0.08710841070636209,0.2394568812644911
-0.0864044865822292,0.2503414091894885,-0.08702549796597701,0.2411230516318401
-0.08642482182128301,0.25039779129214895,-0.08705060456493699,0.24116307017822747
-0.08645532661358382,0.250190003620618,-0.08708346758303041,0.2409624420244123
-0.08647842177424023,0.24997408266244622,-0.0871105629678845,0.2407231121672351
-0.08649636614171868,0.2498116669519841,-0.08712929542840807,0.24055468736972777
-0.08650912649401202,0.24968046231793528,-0.08714169611722265,0.24043847600979446
-0.08651771932735446,0.24959781544086934,-0.08715140804495171,0.24034397119093243
-0.0865237183822311,0.2495369066445739,-0.08715897454542905,0.24027278977707306
